Start	Ende	Type	Property	Counter:long
329	0	EIGHT	Property	1
0	39	SEVEN	Property	2
439	0	SIX	Property	3
0	838	FIVE	Property	4
587	0	FOUR	Property	5
0	418	THREE	Property	6
317	0	TWO	Property	7
263	0	ONE	Property	8
0	55	TEN	Property	9
0	637	NINE	Property	10
0	345	EIGHT	Property	11
0	201	SEVEN	Property	12
0	599	SIX	Property	13
558	0	FIVE	Property	14
0	223	FOUR	Property	15
388	0	THREE	Property	16
970	0	TWO	Property	17
387	0	ONE	Property	18
0	687	TEN	Property	19
0	508	NINE	Property	20
958	0	EIGHT	Property	21
580	0	SEVEN	Property	22
0	152	SIX	Property	23
278	0	FIVE	Property	24
0	88	FOUR	Property	25
0	868	THREE	Property	26
670	0	TWO	Property	27
0	818	ONE	Property	28
240	0	TEN	Property	29
0	119	NINE	Property	30
893	0	EIGHT	Property	31
808	0	SEVEN	Property	32
0	592	SIX	Property	33
0	859	FIVE	Property	34
317	0	FOUR	Property	35
0	269	THREE	Property	36
499	0	TWO	Property	37
0	488	ONE	Property	38
0	158	TEN	Property	39
0	981	NINE	Property	40
0	16	EIGHT	Property	41
0	314	SEVEN	Property	42
419	0	SIX	Property	43
24	0	FIVE	Property	44
0	309	FOUR	Property	45
827	0	THREE	Property	46
961	0	TWO	Property	47
71	0	ONE	Property	48
824	1	THREE	Property	49
976	1	TWO	Property	50
356	1	ONE	Property	51
1	712	TEN	Property	52
1	86	NINE	Property	53
31	1	EIGHT	Property	54
1	577	SEVEN	Property	55
1	318	SIX	Property	56
180	1	FIVE	Property	57
1	394	FOUR	Property	58
1	340	THREE	Property	59
124	1	TWO	Property	60
760	1	ONE	Property	61
2	162	EIGHT	Property	62
2	347	SEVEN	Property	63
2	500	SIX	Property	64
2	100	FIVE	Property	65
2	56	FOUR	Property	66
832	2	THREE	Property	67
874	2	TWO	Property	68
137	2	ONE	Property	69
2	111	TEN	Property	70
2	70	NINE	Property	71
2	863	EIGHT	Property	72
524	2	SEVEN	Property	73
2	367	SIX	Property	74
688	2	FIVE	Property	75
130	2	FOUR	Property	76
2	522	THREE	Property	77
130	2	TWO	Property	78
2	345	ONE	Property	79
2	980	TEN	Property	80
439	2	NINE	Property	81
2	198	EIGHT	Property	82
655	2	SEVEN	Property	83
2	357	SIX	Property	84
621	2	FIVE	Property	85
2	354	FOUR	Property	86
665	2	THREE	Property	87
72	2	TWO	Property	88
2	519	ONE	Property	89
686	2	TEN	Property	90
71	2	NINE	Property	91
615	2	EIGHT	Property	92
371	2	SEVEN	Property	93
2	859	SIX	Property	94
565	2	FIVE	Property	95
2	2	FOUR	Property	96
2	631	THREE	Property	97
879	2	TWO	Property	98
954	2	ONE	Property	99
603	3	NINE	Property	100
25	3	EIGHT	Property	101
66	3	SEVEN	Property	102
925	3	SIX	Property	103
3	809	FIVE	Property	104
3	685	FOUR	Property	105
18	3	THREE	Property	106
566	3	TWO	Property	107
44	3	ONE	Property	108
985	3	TEN	Property	109
38	3	NINE	Property	110
827	3	EIGHT	Property	111
667	3	SEVEN	Property	112
322	3	SIX	Property	113
3	387	FIVE	Property	114
11	3	FOUR	Property	115
851	3	THREE	Property	116
256	3	TWO	Property	117
3	4	ONE	Property	118
3	433	TEN	Property	119
566	3	NINE	Property	120
3	253	EIGHT	Property	121
3	26	SEVEN	Property	122
373	3	SIX	Property	123
3	50	FIVE	Property	124
321	3	FOUR	Property	125
3	231	THREE	Property	126
592	3	TWO	Property	127
3	97	ONE	Property	128
3	293	TEN	Property	129
3	234	NINE	Property	130
912	3	EIGHT	Property	131
612	3	SEVEN	Property	132
612	3	SIX	Property	133
3	844	FIVE	Property	134
451	3	FOUR	Property	135
411	3	THREE	Property	136
3	577	TWO	Property	137
3	423	ONE	Property	138
4	409	FIVE	Property	139
4	433	FOUR	Property	140
264	4	THREE	Property	141
12	4	TWO	Property	142
768	4	ONE	Property	143
5	42	THREE	Property	144
538	5	TWO	Property	145
5	163	ONE	Property	146
967	5	TEN	Property	147
216	5	NINE	Property	148
242	5	EIGHT	Property	149
5	744	SEVEN	Property	150
184	5	SIX	Property	151
5	477	FIVE	Property	152
5	637	FOUR	Property	153
5	195	THREE	Property	154
5	274	TWO	Property	155
5	872	ONE	Property	156
712	5	TEN	Property	157
976	5	NINE	Property	158
5	679	EIGHT	Property	159
442	5	SEVEN	Property	160
5	401	SIX	Property	161
161	5	FIVE	Property	162
619	5	FOUR	Property	163
5	508	THREE	Property	164
5	142	TWO	Property	165
5	289	ONE	Property	166
6	260	TEN	Property	167
720	6	NINE	Property	168
6	413	EIGHT	Property	169
284	6	SEVEN	Property	170
479	6	SIX	Property	171
6	668	FIVE	Property	172
809	6	FOUR	Property	173
6	652	THREE	Property	174
759	6	TWO	Property	175
803	6	ONE	Property	176
658	6	TEN	Property	177
385	6	NINE	Property	178
179	6	EIGHT	Property	179
6	78	SEVEN	Property	180
556	6	SIX	Property	181
236	6	FIVE	Property	182
6	665	FOUR	Property	183
481	6	THREE	Property	184
6	341	TWO	Property	185
173	6	ONE	Property	186
926	6	TEN	Property	187
6	472	NINE	Property	188
880	6	EIGHT	Property	189
979	6	SEVEN	Property	190
305	6	SIX	Property	191
544	6	FIVE	Property	192
898	6	FOUR	Property	193
6	465	THREE	Property	194
656	6	TWO	Property	195
6	154	ONE	Property	196
6	990	TEN	Property	197
6	141	NINE	Property	198
6	257	EIGHT	Property	199
501	6	SEVEN	Property	200
276	6	SIX	Property	201
434	6	FIVE	Property	202
847	6	FOUR	Property	203
828	6	THREE	Property	204
6	186	TWO	Property	205
6	478	ONE	Property	206
163	6	TEN	Property	207
984	6	NINE	Property	208
6	385	EIGHT	Property	209
502	6	SEVEN	Property	210
6	965	SIX	Property	211
6	175	FIVE	Property	212
6	63	FOUR	Property	213
773	6	THREE	Property	214
37	6	TWO	Property	215
6	537	ONE	Property	216
7	89	SEVEN	Property	217
14	7	SIX	Property	218
432	7	FIVE	Property	219
7	163	FOUR	Property	220
7	319	THREE	Property	221
31	7	TWO	Property	222
20	7	ONE	Property	223
759	7	TEN	Property	224
810	7	NINE	Property	225
7	363	EIGHT	Property	226
7	134	SEVEN	Property	227
658	7	SIX	Property	228
7	613	FIVE	Property	229
7	814	FOUR	Property	230
7	226	THREE	Property	231
55	7	TWO	Property	232
7	234	ONE	Property	233
8	82	SIX	Property	234
8	555	FIVE	Property	235
8	966	FOUR	Property	236
32	8	THREE	Property	237
751	8	TWO	Property	238
8	225	ONE	Property	239
8	749	TEN	Property	240
271	8	NINE	Property	241
8	27	EIGHT	Property	242
446	8	SEVEN	Property	243
456	8	SIX	Property	244
322	8	FIVE	Property	245
8	854	FOUR	Property	246
246	8	THREE	Property	247
8	879	TWO	Property	248
648	8	ONE	Property	249
9	814	SEVEN	Property	250
109	9	SIX	Property	251
9	880	FIVE	Property	252
9	684	FOUR	Property	253
962	9	THREE	Property	254
276	9	TWO	Property	255
9	167	ONE	Property	256
947	9	TEN	Property	257
917	9	NINE	Property	258
562	9	EIGHT	Property	259
9	244	SEVEN	Property	260
9	936	SIX	Property	261
9	359	FIVE	Property	262
507	9	FOUR	Property	263
170	9	THREE	Property	264
890	9	TWO	Property	265
9	24	ONE	Property	266
974	10	FIVE	Property	267
494	10	FOUR	Property	268
523	10	THREE	Property	269
10	437	TWO	Property	270
257	10	ONE	Property	271
11	185	NINE	Property	272
248	11	EIGHT	Property	273
11	873	SEVEN	Property	274
31	11	SIX	Property	275
237	11	FIVE	Property	276
11	463	FOUR	Property	277
703	11	THREE	Property	278
11	923	TWO	Property	279
28	11	ONE	Property	280
492	11	TEN	Property	281
11	501	NINE	Property	282
547	11	EIGHT	Property	283
651	11	SEVEN	Property	284
11	841	SIX	Property	285
263	11	FIVE	Property	286
254	11	FOUR	Property	287
11	604	THREE	Property	288
873	11	TWO	Property	289
11	902	ONE	Property	290
146	11	TEN	Property	291
505	11	NINE	Property	292
99	11	EIGHT	Property	293
154	11	SEVEN	Property	294
155	11	SIX	Property	295
708	11	FIVE	Property	296
11	871	FOUR	Property	297
154	11	THREE	Property	298
11	956	TWO	Property	299
11	351	ONE	Property	300
11	871	TEN	Property	301
19	11	NINE	Property	302
323	11	EIGHT	Property	303
715	11	SEVEN	Property	304
11	302	SIX	Property	305
806	11	FIVE	Property	306
656	11	FOUR	Property	307
927	11	THREE	Property	308
11	354	TWO	Property	309
11	362	ONE	Property	310
121	11	TEN	Property	311
880	11	NINE	Property	312
11	592	EIGHT	Property	313
11	567	SEVEN	Property	314
11	503	SIX	Property	315
11	307	FIVE	Property	316
438	11	FOUR	Property	317
711	11	THREE	Property	318
11	757	TWO	Property	319
11	519	ONE	Property	320
12	25	FOUR	Property	321
12	327	THREE	Property	322
12	291	TWO	Property	323
359	12	ONE	Property	324
728	12	TEN	Property	325
160	12	NINE	Property	326
269	12	EIGHT	Property	327
629	12	SEVEN	Property	328
12	734	SIX	Property	329
12	172	FIVE	Property	330
12	429	FOUR	Property	331
199	12	THREE	Property	332
938	12	TWO	Property	333
12	143	ONE	Property	334
13	342	SEVEN	Property	335
577	13	SIX	Property	336
13	581	FIVE	Property	337
13	557	FOUR	Property	338
13	933	THREE	Property	339
696	13	TWO	Property	340
13	453	ONE	Property	341
959	13	TEN	Property	342
13	593	NINE	Property	343
13	624	EIGHT	Property	344
13	315	SEVEN	Property	345
892	13	SIX	Property	346
570	13	FIVE	Property	347
968	13	FOUR	Property	348
13	879	THREE	Property	349
580	13	TWO	Property	350
13	942	ONE	Property	351
13	79	TEN	Property	352
13	635	NINE	Property	353
13	577	EIGHT	Property	354
723	13	SEVEN	Property	355
778	13	SIX	Property	356
385	13	FIVE	Property	357
517	13	FOUR	Property	358
857	13	THREE	Property	359
857	13	TWO	Property	360
13	835	ONE	Property	361
979	14	FOUR	Property	362
494	14	THREE	Property	363
14	984	TWO	Property	364
195	14	ONE	Property	365
741	14	TEN	Property	366
265	14	NINE	Property	367
69	14	EIGHT	Property	368
14	231	SEVEN	Property	369
14	76	SIX	Property	370
197	14	FIVE	Property	371
14	479	FOUR	Property	372
244	14	THREE	Property	373
14	615	TWO	Property	374
14	938	ONE	Property	375
14	106	TEN	Property	376
88	14	NINE	Property	377
14	288	EIGHT	Property	378
399	14	SEVEN	Property	379
14	948	SIX	Property	380
14	870	FIVE	Property	381
14	586	FOUR	Property	382
14	426	THREE	Property	383
912	14	TWO	Property	384
14	204	ONE	Property	385
925	15	FIVE	Property	386
15	780	FOUR	Property	387
15	496	THREE	Property	388
15	527	TWO	Property	389
942	15	ONE	Property	390
16	924	ONE	Property	391
90	16	TEN	Property	392
181	16	NINE	Property	393
578	16	EIGHT	Property	394
16	524	SEVEN	Property	395
716	16	SIX	Property	396
585	16	FIVE	Property	397
16	909	FOUR	Property	398
16	404	THREE	Property	399
663	16	TWO	Property	400
857	16	ONE	Property	401
16	628	TEN	Property	402
16	847	NINE	Property	403
553	16	EIGHT	Property	404
16	973	SEVEN	Property	405
16	380	SIX	Property	406
113	16	FIVE	Property	407
16	860	FOUR	Property	408
16	831	THREE	Property	409
636	16	TWO	Property	410
698	16	ONE	Property	411
104	17	TEN	Property	412
297	17	NINE	Property	413
611	17	EIGHT	Property	414
